Subject,Object
http://purl.obolibrary.org/obo/BTO_0002651,http://www.drugtargetontology.org/dto/DTO_00000018
http://purl.obolibrary.org/obo/DOID_3702,http://purl.obolibrary.org/obo/DOID_2893
http://www.drugtargetontology.org/dto/DTO_02200027,http://www.drugtargetontology.org/dto/DTO_02400093
http://purl.obolibrary.org/obo/BTO_0004676,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0002191
http://purl.obolibrary.org/obo/BTO_0005261,http://www.drugtargetontology.org/dto/DTO_00000018
http://www.drugtargetontology.org/dto/DTO_03400212,http://www.drugtargetontology.org/dto/DTO_03400104
http://www.drugtargetontology.org/dto/DTO_02100780,http://www.drugtargetontology.org/dto/DTO_02300014
http://www.drugtargetontology.org/dto/DTO_03200343,http://www.drugtargetontology.org/dto/DTO_03400265
http://purl.obolibrary.org/obo/BTO_0000895,http://www.drugtargetontology.org/dto/DTO_00000018
http://www.drugtargetontology.org/dto/DTO_02100084,http://www.drugtargetontology.org/dto/DTO_02300037
http://purl.obolibrary.org/obo/BTO_0000823,http://www.drugtargetontology.org/dto/DTO_00000018
http://purl.obolibrary.org/obo/DOID_9744,http://purl.obolibrary.org/obo/DOID_9351
http://www.drugtargetontology.org/dto/DTO_03100619,http://www.drugtargetontology.org/dto/DTO_03391041
http://purl.obolibrary.org/obo/DOID_2769,http://purl.obolibrary.org/obo/DOID_0060038
http://purl.obolibrary.org/obo/DOID_3265,http://purl.obolibrary.org/obo/DOID_3262
http://www.drugtargetontology.org/dto/DTO_03300126,http://www.drugtargetontology.org/dto/DTO_03300107
http://purl.obolibrary.org/obo/DOID_9432,http://purl.obolibrary.org/obo/DOID_447
http://purl.obolibrary.org/obo/CHEBI_15355,http://purl.obolibrary.org/obo/CHEBI_32952
http://purl.obolibrary.org/obo/DOID_11184,http://purl.obolibrary.org/obo/DOID_6195
http://www.drugtargetontology.org/dto/DTO_03200293,http://www.drugtargetontology.org/dto/DTO_03400287
http://purl.obolibrary.org/obo/DOID_9240,http://purl.obolibrary.org/obo/DOID_341
http://www.drugtargetontology.org/dto/DTO_03100344,http://www.drugtargetontology.org/dto/DTO_03300297
http://purl.obolibrary.org/obo/BTO_0001073,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0001488
http://purl.obolibrary.org/obo/DOID_1556,http://purl.obolibrary.org/obo/DOID_1557
http://www.drugtargetontology.org/dto/DTO_03300173,http://www.drugtargetontology.org/dto/DTO_03300109
http://www.drugtargetontology.org/dto/DTO_02200162,http://www.drugtargetontology.org/dto/DTO_02400052
http://www.drugtargetontology.org/dto/DTO_02100387,http://www.drugtargetontology.org/dto/DTO_02300013
http://purl.obolibrary.org/obo/UBERON_0000056,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/UBERON_0001062
http://www.drugtargetontology.org/dto/DTO_61000046,http://www.drugtargetontology.org/dto/DTO_61000000
http://www.drugtargetontology.org/dto/DTO_02100278,http://www.drugtargetontology.org/dto/DTO_02300069
http://www.drugtargetontology.org/dto/DTO_01400421,http://www.drugtargetontology.org/dto/DTO_01400353
http://purl.obolibrary.org/obo/DOID_0060365,http://purl.obolibrary.org/obo/DOID_225
http://purl.obolibrary.org/obo/DOID_0060366,http://purl.obolibrary.org/obo/DOID_75
http://purl.obolibrary.org/obo/DOID_0060363,http://purl.obolibrary.org/obo/DOID_655
http://www.drugtargetontology.org/dto/DTO_03400307,http://www.drugtargetontology.org/dto/DTO_03400203
http://www.drugtargetontology.org/dto/DTO_02100171,http://www.drugtargetontology.org/dto/DTO_02300002
http://www.drugtargetontology.org/dto/DTO_02100119,http://www.drugtargetontology.org/dto/DTO_02300047
http://www.drugtargetontology.org/dto/DTO_02200534,http://www.drugtargetontology.org/dto/DTO_02400013
http://www.drugtargetontology.org/dto/DTO_02100082,http://www.drugtargetontology.org/dto/DTO_02300037
http://www.drugtargetontology.org/dto/DTO_01200070,http://www.drugtargetontology.org/dto/DTO_01400393
http://purl.obolibrary.org/obo/DOID_1485,http://purl.obolibrary.org/obo/DOID_0050737
http://www.drugtargetontology.org/dto/DTO_01100057,http://www.drugtargetontology.org/dto/DTO_01300336
http://purl.obolibrary.org/obo/CHEBI_80127,http://purl.obolibrary.org/obo/CHEBI_16670
http://www.drugtargetontology.org/dto/DTO_61000398,http://www.drugtargetontology.org/dto/DTO_61000000
http://www.drugtargetontology.org/dto/DTO_02100643,http://www.drugtargetontology.org/dto/DTO_02300013
http://purl.obolibrary.org/obo/DOID_438,http://purl.obolibrary.org/obo/DOID_417
http://purl.obolibrary.org/obo/DOID_437,http://purl.obolibrary.org/obo/DOID_439|http://purl.obolibrary.org/obo/DOID_0060033
http://purl.obolibrary.org/obo/DOID_439,http://purl.obolibrary.org/obo/DOID_440
http://www.drugtargetontology.org/dto/DTO_03300187,http://www.drugtargetontology.org/dto/DTO_03300113
http://purl.obolibrary.org/obo/DOID_12098,http://purl.obolibrary.org/obo/DOID_561
